selection-sort,150,49995000
insertion-sort,107,24717918
binary-insertion-sort,64,118992
bubble-sort,453,49995000
shaker-sort,380,49995000
shell-sort,2,260950
heap-sort,2,165972
merge-sort,3,120400
quick-sort,1,127873
counting-sort,0,10000
radix-sort,0,40000
flash-sort,0,20356
selection-sort,1384,449985000
insertion-sort,962,224355113
binary-insertion-sort,672,404668
bubble-sort,3957,449985000
shaker-sort,3438,449985000
shell-sort,7,924584
heap-sort,8,570964
merge-sort,10,408526
quick-sort,4,455552
counting-sort,0,30000
radix-sort,2,150000
flash-sort,0,60857
selection-sort,3848,1249975000
insertion-sort,2756,623422456
binary-insertion-sort,1650,711372
bubble-sort,11616,1249975000
shaker-sort,9882,1249975000
shell-sort,14,1796495
heap-sort,14,1006445
merge-sort,17,718110
quick-sort,8,810587
counting-sort,1,50000
radix-sort,5,250000
flash-sort,1,100516
selection-sort,15783,4999950000
insertion-sort,11317,2495564238
binary-insertion-sort,6681,1522852
bubble-sort,45914,4999950000
shaker-sort,38414,4999950000
shell-sort,37,4366706
heap-sort,36,2163253
merge-sort,40,1536315
quick-sort,20,1699357
counting-sort,2,100000
radix-sort,11,500000
flash-sort,3,200536
selection-sort,157967,44999850000
insertion-sort,99316,22515724165
binary-insertion-sort,58036,5041388
bubble-sort,405009,44999850000
shaker-sort,347225,44999850000
shell-sort,110,15938977
heap-sort,103,7200227
merge-sort,108,5084720
quick-sort,56,5644569
counting-sort,7,300000
radix-sort,33,1800000
flash-sort,9,600460
selection-sort,392520,124999750000
insertion-sort,276247,62445341290
binary-insertion-sort,165100,8773262
bubble-sort,1187965,124999750000
shaker-sort,1041330,124999750000
shell-sort,207,29204034
heap-sort,189,12559369
merge-sort,194,8837067
quick-sort,103,9778162
counting-sort,15,500000
radix-sort,60,3000000
flash-sort,16,1000885
selection-sort,147,49995000
insertion-sort,0,9999
binary-insertion-sort,0,123617
bubble-sort,150,49995000
shaker-sort,147,49995000
shell-sort,0,120005
heap-sort,2,180584
merge-sort,2,69008
quick-sort,0,113631
counting-sort,0,10000
radix-sort,0,40000
flash-sort,0,20000
selection-sort,1365,449985000
insertion-sort,0,29999
binary-insertion-sort,1,417233
bubble-sort,1376,449985000
shaker-sort,1370,449985000
shell-sort,1,390007
heap-sort,7,610369
merge-sort,7,227728
quick-sort,2,387248
counting-sort,0,30000
radix-sort,3,150000
flash-sort,1,60000
selection-sort,3982,1249975000
insertion-sort,0,49999
binary-insertion-sort,3,734465
bubble-sort,4121,1249975000
shaker-sort,4059,1249975000
shell-sort,4,700006
heap-sort,13,1074836
merge-sort,14,401952
quick-sort,4,684481
counting-sort,0,50000
